Now playing.
Running...
Initializing: New segment
----- Video properties. -----
Input size: 640x360
Target size: 544x360
Retargetfactor: 0.85
Extendfactor: 0.25
Frame window size: 50
RECV 63039962
ADD 63039964
RECV 63039966
ADD 63039968
RECV 63039969
ADD 63039972
RECV 63039973
ADD 63039976
RECV 63039977
ADD 63039979
RECV 63039980
ADD 63039983
RECV 63039985
ADD 63039987
RECV 63039988
ADD 63039989
RECV 63039990
ADD 63039992
RECV 63039993
ADD 63039995
RECV 63039995
ADD 63039997
RECV 63039998
ADD 63040001
RECV 63040002
ADD 63040004
RECV 63040006
ADD 63040008
RECV 63040010
ADD 63040012
RECV 63040013
ADD 63040015
RECV 63040016
ADD 63040019
RECV 63040022
ADD 63040025
RECV 63040026
ADD 63040028
RECV 63040030
ADD 63040032
RECV 63040034
ADD 63040036
RECV 63040037
ADD 63040039
RECV 63040040
ADD 63040042
RECV 63040044
ADD 63040046
RECV 63040048
ADD 63040050
RECV 63040052
ADD 63040055
RECV 63040056
ADD 63040057
RECV 63040058
ADD 63040059
RECV 63040060
ADD 63040062
RECV 63040063
ADD 63040064
RECV 63040066
ADD 63040067
RECV 63040068
ADD 63040070
RECV 63040072
ADD 63040074
RECV 63040075
ADD 63040077
RECV 63040078
ADD 63040080
RECV 63040084
ADD 63040087
RECV 63040088
ADD 63040090
RECV 63040091
ADD 63040093
RECV 63040095
ADD 63040097
RECV 63040098
ADD 63040101
RECV 63040102
ADD 63040104
RECV 63040105
ADD 63040107
RECV 63040107
ADD 63040110
RECV 63040110
ADD 63040112
RECV 63040113
ADD 63040115
RECV 63040117
ADD 63040119
RECV 63040120
ADD 63040121
RECV 63040122
ADD 63040125
RECV 63040126
ADD 63040128
RECV 63040129
ADD 63040131
RECV 63040132
ADD 63040134
RECV 63040136
ADD 63040138
RECV 63040139
ADD 63040141
RECV 63040143
ADD 63040145
RECV 63040147
SEND 63040154
ADD 63040149
RECV 63040157
SEND 63040171
ADD 63040159
RECV 63040173
SEND 63040190
ADD 63040175
RECV 63040193
SEND 63040207
ADD 63040194
RECV 63040209
SEND 63040225
ADD 63040210
RECV 63040228
SEND 63040243
ADD 63040229
RECV 63040245
SEND 63040260
ADD 63040248
RECV 63040262
SEND 63040277
ADD 63040264
RECV 63040279
SEND 63040296
ADD 63040281
RECV 63040298
SEND 63040313
ADD 63040299
RECV 63040316
SEND 63040331
